,Features,Importance
0,colon_hpa_isoform_exp,0.012210785679579785
1,ovary_hpa_isoform_exp,0.013419612448670537
2,breast_hpa_isoform_exp,0.012901074398936072
3,lung_hpa_isoform_exp,0.012671740604335915
4,salivary gland_hpa_isoform_exp,0.015266836680585583
5,seminal vesicle_hpa_isoform_exp,0.011311748018526153
6,lymph node_hpa_isoform_exp,0.012223483348016683
7,placenta_hpa_isoform_exp,0.013950712865962245
8,kidney_hpa_isoform_exp,0.012210149188190045
9,"cervix, uterine_hpa_isoform_exp",0.012801226524686349
10,adrenal gland_hpa_isoform_exp,0.013799658403798785
11,thyroid gland_hpa_isoform_exp,0.012127453932833656
12,stomach 1_hpa_isoform_exp,0.012545300801734539
13,gallbladder_hpa_isoform_exp,0.01559982979041728
14,duodenum_hpa_isoform_exp,0.013248155269976374
15,fallopian tube_hpa_isoform_exp,0.012006499270083525
16,endometrium 1_hpa_isoform_exp,0.011789243300859564
17,skin 1_hpa_isoform_exp,0.014651045316437454
18,spleen_hpa_isoform_exp,0.01339902283501144
19,gtex_rna_tissue_expression,0.05406536570342106
20,appendix_hpa_isoform_exp,0.013886877887212712
21,heart muscle_hpa_isoform_exp,0.01352821385493751
22,small intestine_hpa_isoform_exp,0.012847039858755493
23,epididymis_hpa_isoform_exp,0.016159630748638368
24,testis_hpa_isoform_exp,0.014272976646343735
25,liver_hpa_isoform_exp,0.014365495958960537
26,esophagus_hpa_isoform_exp,0.0168408479141886
27,urinary bladder_hpa_isoform_exp,0.013261237726463405
28,skeletal muscle_hpa_isoform_exp,0.015083211003177954
29,tonsil_hpa_isoform_exp,0.012681935604900975
30,prostate_hpa_isoform_exp,0.012663485264975578
31,parathyroid gland_hpa_isoform_exp,0.016222551037780482
32,adipose tissue_hpa_isoform_exp,0.012742034828576021
33,smooth muscle_hpa_isoform_exp,0.014390043601502069
34,rectum_hpa_isoform_exp,0.013329503056082317
35,bone marrow_hpa_isoform_exp,0.02800007849620643
36,mentha_source_feature,0.08476542493788504
37,chr_no_source_feature,0.0007472080409573612
38,qPhos_site_number,0.013832904571099956
39,Phosphosite_hu_no,0.017849455696488624
40,pFAM_domain_number,0.010482514010820098
41,pFAM_domain,0.02285736335596971
42,protein_mass,0.019382578972159652
43,Ensembl_aa_length,0.01599975881426155
44,Ensembl_isoform_no,0.016273350761915033
45,trans_count,0.018006583043084827
46,gc_content,0.020072412023597757
47,trans_len,0.0221011606081036
48,gene_length,0.033618438105264124
49,exon_no,0.018821519024406506
50,cds_length,0.016165749161000914
51,HIP_RNA,0.0190466960834576
52,DFC_RNA,0.01679813471390936
53,V1C_RNA,0.014633062644710669
54,AMY_RNA,0.016779290978656474
55,MD_RNA,0.017818431128127962
56,STR_RNA,0.016392043756005652
57,CBC_RNA,0.025081811697352227
