,genes
0,AAK1
1,ABCG1
2,ABHD5
3,ABI1
4,ABI2
5,ACSS2
6,ACTB
7,ACTG1
8,ACVR1B
9,ADAM8
10,ADAP2
11,ADD1
12,ADD2
13,ADD3
14,ADI1
15,ADO
16,ADRA1B
17,AGRN
18,AKT1S1
19,AMPH
20,ANK2
21,ANXA1
22,AOC3
23,AP3D1
24,AP4S1
25,APOBEC3C
26,ARHGEF1
27,ARPP21
28,ATP1A1
29,ATP2B1
30,ATP2B2
31,ATP6V0A4
32,ATP6V0D1
33,ATP6V1B1
34,BCL2L11
35,BDKRB1
36,BHLHE23
37,BMP1
38,BNC1
39,C1QBP
40,CACNG3
41,CAMK2B
42,CANT1
43,CANX
44,CAP2
45,CBS
46,CCDC40
47,CCNJ
48,CD320
49,CD3G
50,CDC42
51,CDH10
52,CDH2
53,CDO1
54,CENPI
55,CENPM
56,CEP78
57,CHST6
58,CMTR2
59,CNBP
60,CNOT7
61,CNTN2
62,CNTNAP1
63,CORO1A
64,CSPG5
65,CSTB
66,CTBP1
67,CTNNB1
68,CTNND2
69,DBNL
70,DCAF15
71,DCAF5
72,DDX56
73,DEGS1
74,DLG3
75,DLGAP1
76,DLGAP2
77,DNM2
78,DNM3
79,DPYSL3
80,DXO
81,DYNLL2
82,ELF4
83,EMILIN3
84,EML2
85,EP300
86,EPHA4
87,ERC2
88,ESYT1
89,EXOC3
90,EXOC4
91,FAM53B
92,FILIP1
93,FKBP8
94,FLAD1
95,FRG1
96,GABBR1
97,GABBR2
98,GABRA4
99,GALNT4
100,GAP43
101,GLB1L
102,GNL3L
103,GOT1
104,GPR39
105,GPT2
106,GPX2
107,GRB14
108,GRIA4
109,GRIN2A
110,GRIN2B
111,GRM3
112,GRM5
113,GSK3B
114,GTF2H1
115,HBE1
116,HLA-DRB1
117,HLCS
118,HLX
119,HOXB6
120,HRAS
121,HS1BP3
122,HSD11B2
123,HSPA8
124,HTT
125,IFIH1
126,IGFBP3
127,IL17RA
128,INA
129,IRX1
130,ITGB3BP
131,ITGB6
132,JRKL
133,KCNA1
134,KCNA2
135,KCNG1
136,KCNMA1
137,KCNN3
138,KCTD12
139,KCTD16
140,KDM4B
141,KIAA0586
142,KIF20A
143,KIF22
144,KLF9
145,KRTAP19-7
146,LARP4B
147,LIN7A
148,LNX1
149,LRRC32
150,LRRC7
151,MAP1B
152,MAP2
153,MAPT
154,MEMO1
155,MINK1
156,MPP2
157,MRTO4
158,MTR
159,MYBBP1A
160,MYH7B
161,NAA38
162,NAPA
163,NEK9
164,NLGN2
165,NLRP9
166,NRGN
167,NRXN1
168,NRXN2
169,NSD1
170,NSF
171,NTRK2
172,OCRL
173,OGG1
174,OLFM1
175,PACSIN1
176,PALM
177,PANK4
178,PBRM1
179,PCDH12
180,PCLO
181,PDE2A
182,PDIA4
183,PEBP1
184,PFN1
185,PFN2
186,PICALM
187,PKP4
188,PLCB1
189,PLCH1
190,PLIN2
191,PLVAP
192,POLR2I
193,POLR3A
194,PPFIA1
195,PPFIA2
196,PPP1R1A
197,PPP2R1A
198,PPP3CA
199,PPP3CC
200,PRDM16
201,PRKACA
202,PRKAR1A
203,PRKAR2B
204,PRX
205,PSD3
206,PSME2
207,PURA
208,PYROXD1
209,QRFPR
210,RAB10
211,RAB17
212,RAB18
213,RAB21
214,RAB35
215,RAB3C
216,RAB3D
217,RAB5A
218,RAB5C
219,RAB8B
220,RABAC1
221,RAD54L2
222,RAD9B
223,RAPGEF4
224,RCCD1
225,RGS22
226,RHOA
227,RHOQ
228,RIMBP2
229,RIMS1
230,RIMS2
231,RNF138
232,RNF20
233,RORC
234,RPH3A
235,RPP25
236,RPS18
237,RTN3
238,RTN4
239,S100A11
240,S100A5
241,SAMHD1
242,SART1
243,SCN2A
244,SDC4
245,SEC62
246,SEMA6C
247,SEPSECS
248,SLAMF1
249,SLC16A5
250,SLC18A2
251,SLC1A2
252,SLC2A14
253,SLC32A1
254,SLC41A1
255,SLC45A2
256,SLC6A17
257,SLC7A8
258,SLC9C1
259,SMG1
260,SNCA
261,SNRPC
262,SPTBN1
263,SPTBN2
264,STX1B
265,STX4
266,STX6
267,STX7
268,STXBP1
269,STXBP3
270,STXBP5
271,STYX
272,SUGCT
273,SURF6
274,SV2A
275,SV2B
276,SYN1
277,SYNGR2
278,SYNGR3
279,SYNJ1
280,SYNJ2
281,SYP
282,SYT1
283,SYT12
284,SYT2
285,SYT7
286,TACO1
287,TBC1D15
288,TCTE1
289,TMX2
290,TNNI1
291,TNPO2
292,TNR
293,TRIM27
294,TST
295,TUBA1A
296,U2SURP
297,UBE2A
298,UBE2M
299,UBE2Q1
300,UPP2
301,VAMP2
302,VCP
303,VDAC1
304,VPS45
305,VTI1A
306,WASF1
307,WDR7
308,XRCC2
309,YWHAE
310,YWHAG
311,YWHAH
312,YWHAQ
313,YWHAZ
314,ZDHHC13
315,ZFP36
316,ZFP62
317,ZFP91
318,ZNF516
319,ZNF644
