,genes
0,AAK1
1,ABCG1
2,ABHD5
3,ABI1
4,ACSS2
5,ACTG1
6,ACVR1B
7,ADAM22
8,ADAM23
9,ADAM8
10,ADAP2
11,ADD2
12,ADI1
13,ADO
14,ADRA1B
15,AKT1S1
16,ALG13
17,AMPH
18,ANKZF1
19,ANXA1
20,AP3D1
21,AP4S1
22,APOE
23,AQP7
24,ARHGEF1
25,ARPP21
26,ATP1A1
27,ATP1A2
28,ATP2B1
29,ATP6V0A4
30,ATP6V0D1
31,ATP6V1B1
32,BBS9
33,BCAN
34,BCL2L11
35,BMF
36,BMP1
37,BSN
38,C1QBP
39,CACNG3
40,CADPS
41,CAMK2A
42,CAMK2B
43,CBS
44,CCDC40
45,CCNJ
46,CD320
47,CD3G
48,CD80
49,CDC42
50,CDH10
51,CDH2
52,CENPI
53,CENPM
54,CEP78
55,CHST6
56,CNOT7
57,CNTN2
58,CNTNAP1
59,CSPG5
60,CSTB
61,CTBP1
62,CTNNA2
63,CTNNB1
64,CTNND2
65,CTPS2
66,DBN1
67,DBNL
68,DCAF5
69,DCLK1
70,DDX56
71,DLG2
72,DLG3
73,DLGAP1
74,DLGAP2
75,DNAJC5
76,DNM2
77,DNM3
78,DYNLL2
79,EBNA1BP2
80,EEF2
81,EMILIN3
82,EML2
83,EP300
84,ERC1
85,ERC2
86,ERG
87,ESYT1
88,EXOC4
89,FABP1
90,FAM53B
91,FILIP1
92,FKBP8
93,FLAD1
94,FLOT1
95,FRG1
96,GABBR1
97,GABBR2
98,GABRA1
99,GABRA4
100,GAP43
101,GIT1
102,GNB5
103,GOT1
104,GPM6A
105,GPR39
106,GPT2
107,GPX2
108,GRB14
109,GRIA1
110,GRIA4
111,GRIN2A
112,GRIN2B
113,GRM1
114,GRM5
115,GRM7
116,GSDMA
117,GSK3B
118,GTF2H1
119,HBE1
120,HIPK1
121,HLA-DRB1
122,HLCS
123,HLX
124,HMGCS1
125,HOXB6
126,HPCA
127,HRAS
128,HS1BP3
129,HSD11B2
130,HSPA8
131,HTT
132,IFT81
133,IL17RA
134,INA
135,IRX1
136,ITGB3BP
137,ITGB6
138,ITM2A
139,JRKL
140,KCNA1
141,KCNA2
142,KCNAB2
143,KCNG1
144,KCNMA1
145,KCNN3
146,KDM4B
147,KIF20A
148,KIF22
149,KLF9
150,KRTAP19-7
151,LARP4B
152,LNX1
153,LRRC32
154,LRRC7
155,LRRTM1
156,MAP1B
157,MAP2
158,MAPK1
159,MAPK12
160,MAPK13
161,MAPT
162,MBD1
163,MPP2
164,MRTO4
165,MTR
166,MYBBP1A
167,MYH7B
168,MYO5A
169,MZT1
170,NAA38
171,NAPA
172,NAPG
173,NFATC1
174,NLGN1
175,NLGN2
176,NLRP9
177,NRGN
178,NRXN1
179,NRXN2
180,NSD1
181,NTRK2
182,OCRL
183,OGG1
184,PACSIN1
185,PANK4
186,PBRM1
187,PCDH12
188,PCLO
189,PDE2A
190,PDE7B
191,PDIA4
192,PEBP1
193,PEX26
194,PFN1
195,PFN2
196,PICALM
197,PKP4
198,PLCH1
199,PLIN2
200,POLR2I
201,POLR3A
202,PPARG
203,PPFIA1
204,PPFIA2
205,PPFIA4
206,PPIG
207,PPP1R1A
208,PPP2R1A
209,PRKACA
210,PRKAR1A
211,PRKAR2B
212,PRKCG
213,PRX
214,PSD3
215,PSME2
216,PURA
217,PYROXD1
218,RAB10
219,RAB15
220,RAB17
221,RAB21
222,RAB35
223,RAB3A
224,RAB3C
225,RAB3D
226,RAB3GAP1
227,RAB5A
228,RABAC1
229,RAD50
230,RAD9B
231,RAPGEF4
232,RCCD1
233,RGS22
234,RHOA
235,RHOQ
236,RIMBP2
237,RIMS1
238,RNF138
239,RNF20
240,RPS18
241,RSPH9
242,RTN4
243,RUSC2
244,SAMHD1
245,SCN2A
246,SDC4
247,SEC62
248,SEMA6C
249,SHANK2
250,SLAMF1
251,SLC1A2
252,SLC35A5
253,SLC41A1
254,SLC43A1
255,SLC45A2
256,SLC6A17
257,SLC7A8
258,SLCO3A1
259,SMG1
260,SNAP91
261,SNCA
262,SNRPC
263,SOAT1
264,SPTBN1
265,SPTBN2
266,STAB1
267,STX1A
268,STX4
269,STXBP1
270,STXBP3
271,SUGCT
272,SV2A
273,SV2B
274,SYN1
275,SYNGR3
276,SYNJ1
277,SYNJ2
278,SYP
279,SYT1
280,SYT12
281,SYT7
282,TBC1D15
283,TLN2
284,TMIGD2
285,TMTC1
286,TMX2
287,TNNI1
288,TNPO2
289,TNR
290,TRIM27
291,TST
292,TUBB2B
293,UBA3
294,UBE2A
295,UBE2M
296,UBE2Q1
297,UBN1
298,UNKL
299,UPP2
300,VAMP2
301,VCP
302,VIL1
303,VPS45
304,VTI1A
305,WASF1
306,WDR7
307,XRCC2
308,YWHAE
309,YWHAG
310,YWHAH
311,YWHAQ
312,YWHAZ
313,ZDHHC13
314,ZFP36
315,ZFP62
316,ZFP91
317,ZNF644
318,ZNF69
319,ZNF706
