,genes
0,ABCG1
1,ABI1
2,ABI2
3,ACSS2
4,ACTB
5,ACVR1B
6,ADAM22
7,ADAM23
8,ADD1
9,ADD3
10,ADI1
11,ADRA1B
12,AGRN
13,AKT1S1
14,ALG13
15,AMPH
16,ANK2
17,ANKZF1
18,ANXA1
19,AOC3
20,AP4S1
21,APOBEC3C
22,APOE
23,AQP7
24,ARHGEF1
25,ATP1A2
26,ATP2B2
27,ATP6V0D1
28,ATP6V1B1
29,BBS9
30,BCAN
31,BCL2L11
32,BDKRB1
33,BHLHE23
34,BMF
35,BNC1
36,BSN
37,C1QBP
38,CACNG3
39,CADPS
40,CAMK2A
41,CAMK2B
42,CANT1
43,CANX
44,CAP2
45,CCDC40
46,CCNJ
47,CD3G
48,CD80
49,CDC42
50,CDH10
51,CDO1
52,CENPI
53,CENPM
54,CEP78
55,CHST6
56,CMTR2
57,CNBP
58,CNOT7
59,CNTN2
60,CNTNAP1
61,CORO1A
62,CSPG5
63,CSTB
64,CTBP1
65,CTNNA2
66,CTNND2
67,CTPS2
68,DBN1
69,DBNL
70,DCAF15
71,DCAF5
72,DCLK1
73,DDX56
74,DEGS1
75,DLG2
76,DLG3
77,DLGAP1
78,DLGAP2
79,DNAJC5
80,DNM2
81,DPYSL3
82,DXO
83,EBNA1BP2
84,EEF2
85,ELF4
86,EMILIN3
87,EML2
88,EP300
89,EPHA4
90,ERC1
91,ERG
92,ESYT1
93,EXOC3
94,EXOC4
95,FABP1
96,FAM53B
97,FKBP8
98,FLOT1
99,GABRA1
100,GABRA4
101,GALNT4
102,GAP43
103,GIT1
104,GLB1L
105,GNB5
106,GNL3L
107,GPM6A
108,GPT2
109,GPX2
110,GRB14
111,GRIA1
112,GRIA4
113,GRIN2A
114,GRIN2B
115,GRM1
116,GRM3
117,GRM5
118,GRM7
119,GSDMA
120,GSK3B
121,GTF2H1
122,HIPK1
123,HLA-DRB1
124,HMGCS1
125,HOXB6
126,HPCA
127,HRAS
128,HSD11B2
129,HSPA8
130,IFIH1
131,IFT81
132,IGFBP3
133,IL17RA
134,ITGB3BP
135,ITM2A
136,KCNA2
137,KCNAB2
138,KCNG1
139,KCNMA1
140,KCTD12
141,KCTD16
142,KDM4B
143,KIAA0586
144,KIF20A
145,KLF9
146,KRTAP19-7
147,LIN7A
148,LNX1
149,LRRC7
150,LRRTM1
151,MAP2
152,MAPK1
153,MAPK12
154,MAPK13
155,MAPT
156,MBD1
157,MEMO1
158,MINK1
159,MRTO4
160,MTR
161,MYBBP1A
162,MYH7B
163,MYO5A
164,MZT1
165,NAA38
166,NAPA
167,NAPG
168,NEK9
169,NFATC1
170,NLGN1
171,NRGN
172,NRXN1
173,NSD1
174,NSF
175,NTRK2
176,OGG1
177,OLFM1
178,PACSIN1
179,PALM
180,PANK4
181,PBRM1
182,PCDH12
183,PDE7B
184,PEBP1
185,PEX26
186,PFN1
187,PFN2
188,PICALM
189,PKP4
190,PLCB1
191,PLCH1
192,PLVAP
193,POLR2I
194,POLR3A
195,PPARG
196,PPFIA1
197,PPFIA2
198,PPFIA4
199,PPIG
200,PPP2R1A
201,PPP3CA
202,PPP3CC
203,PRDM16
204,PRKAR2B
205,PRKCG
206,PRX
207,PSD3
208,PSME2
209,PURA
210,QRFPR
211,RAB10
212,RAB15
213,RAB17
214,RAB18
215,RAB21
216,RAB3A
217,RAB3C
218,RAB3GAP1
219,RAB5A
220,RAB5C
221,RAB8B
222,RAD50
223,RAD54L2
224,RAD9B
225,RGS22
226,RHOA
227,RHOQ
228,RIMBP2
229,RIMS2
230,RNF20
231,RORC
232,RPH3A
233,RPP25
234,RPS18
235,RSPH9
236,RTN3
237,RTN4
238,RUSC2
239,S100A11
240,S100A5
241,SART1
242,SCN2A
243,SDC4
244,SEC62
245,SEMA6C
246,SEPSECS
247,SHANK2
248,SLAMF1
249,SLC16A5
250,SLC18A2
251,SLC1A2
252,SLC2A14
253,SLC32A1
254,SLC35A5
255,SLC41A1
256,SLC43A1
257,SLC6A17
258,SLC9C1
259,SLCO3A1
260,SMG1
261,SNAP91
262,SNCA
263,SOAT1
264,SPTBN1
265,SPTBN2
266,STAB1
267,STX1A
268,STX1B
269,STX4
270,STX6
271,STX7
272,STXBP1
273,STXBP3
274,STXBP5
275,STYX
276,SURF6
277,SV2A
278,SV2B
279,SYN1
280,SYNGR2
281,SYNGR3
282,SYNJ1
283,SYP
284,SYT2
285,SYT7
286,TACO1
287,TBC1D15
288,TCTE1
289,TLN2
290,TMIGD2
291,TMTC1
292,TMX2
293,TNNI1
294,TNPO2
295,TNR
296,TRIM27
297,TST
298,TUBA1A
299,TUBB2B
300,U2SURP
301,UBA3
302,UBE2A
303,UBE2M
304,UBE2Q1
305,UBN1
306,UNKL
307,VAMP2
308,VDAC1
309,VIL1
310,VPS45
311,VTI1A
312,WDR7
313,ZFP36
314,ZFP62
315,ZFP91
316,ZNF516
317,ZNF644
318,ZNF69
319,ZNF706
