,Gene1,Gene2,ytest,ypredict
0,RAB10,ADAM22,5.295128,5.6584904190000005
1,RAB10,ADAM23,5.295128,4.5940086764
2,RAB10,ALG13,4.169474,4.290150095399998
3,RAB10,ANKZF1,4.324937,4.2501064
4,RAB10,APOE,6.8889685,4.602865071100001
5,RAB10,AQP7,5.411835,3.6150912114999993
6,RAB10,ATP1A2,5.411835,3.3210627862
7,RAB10,BBS9,5.0144997,5.968512417999996
8,RAB10,BCAN,4.309955599999999,4.3308707234
9,RAB10,BMF,5.8800907,3.4853652719999992
10,RAB10,BSN,6.7612133000000005,4.653821921
11,RAB10,CADPS,5.295128,3.7017751971999973
12,RAB10,CAMK2A,8.705256,4.909527397399998
13,RAB10,CD80,4.775548000000001,3.583763505800001
14,RAB10,CTNNA2,7.4474587,5.1569568767
15,RAB10,CTPS2,3.3975115,4.697713183000001
16,RAB10,DBN1,7.019365299999999,5.354010584000001
17,RAB10,DCLK1,6.421464,5.129214750799999
18,RAB10,DLG2,6.5423183,4.143513830199999
19,RAB10,DNAJC5,6.6214886,3.894504776599999
20,RAB10,EBNA1BP2,1.8480870999999999,4.552418621200001
21,RAB10,EEF2,5.9068904,6.173886611699999
22,RAB10,ERC1,6.421464,5.624185300399997
23,RAB10,ERG,3.267369,4.6763600317
24,RAB10,FABP1,6.7612133000000005,3.3065417762999987
25,RAB10,FLOT1,7.4474587,5.3200730300000005
26,RAB10,GABRA1,5.091827400000001,5.481498057999999
27,RAB10,GIT1,6.460634,5.201664745999998
28,RAB10,GNB5,5.9068904,5.904606274633335
29,RAB10,GPM6A,5.295128,3.916227185199999
30,RAB10,GRIA1,8.019364999999999,3.365219564
31,RAB10,GRM1,4.355375,5.5613690578
32,RAB10,GRM7,5.9761534,4.468141307400001
33,RAB10,GSDMA,4.7714376,3.9890005222999996
34,RAB10,HIPK1,3.8429562999999995,5.109205513799999
35,RAB10,HMGCS1,4.792107,4.907174990699999
36,RAB10,HPCA,5.8800907,2.9065186213
37,RAB10,IFT81,5.0144997,4.991716407799999
38,RAB10,ITM2A,4.775548000000001,4.626836351999999
39,RAB10,KCNAB2,6.0193653,3.9612823974
